4,7,19,23,12,22,24,5,21,16,13,20,15,1,11,9,6,17,3,0,14,10,8,2,18
4,13,22,23,1,19,11,17,0,9,18,7,5,24,6,12,20,10,2,15,14,3,16,8,21
4,2,9,7,24,22,14,10,23,12,21,15,11,8,1,18,0,17,19,5,3,16,6,13,20
4,12,13,19,0,22,7,23,10,17,18,1,9,20,5,14,2,15,16,11,21,3,24,8,6
4,19,1,22,13,2,9,12,7,15,18,5,0,24,8,10,23,17,14,3,20,6,21,16,11
4,10,6,0,20,17,13,8,12,23,9,15,18,7,5,22,2,16,3,1,21,14,19,24,11
4,12,19,23,7,1,13,3,2,22,18,17,5,14,11,15,0,9,6,16,20,24,10,21,8
4,23,12,19,2,22,0,13,1,3,15,9,24,11,17,16,18,5,6,21,7,10,20,14,8
4,12,22,13,23,19,0,9,2,7,1,18,3,21,6,14,11,17,5,24,15,16,20,10,8
4,12,2,23,7,13,22,9,15,19,1,20,6,16,17,10,3,18,0,24,11,21,14,5,8
4,22,13,12,19,2,23,7,18,1,11,9,17,15,3,16,0,6,5,21,20,14,10,24,8
4,12,19,0,13,1,16,23,18,17,9,11,2,7,14,5,10,6,3,15,22,21,24,8,20
4,19,17,12,1,7,22,18,23,14,10,3,6,20,11,0,16,5,24,2,13,21,9,15,8
4,12,22,19,13,23,3,17,7,2,9,18,0,1,24,5,15,21,11,14,20,6,10,16,8
4,19,23,12,22,13,2,11,9,7,1,15,17,3,0,24,10,18,14,8,6,20,5,21,16
4,22,13,23,0,12,7,1,2,19,9,16,18,3,17,11,6,8,21,10,14,24,15,20,5
4,19,22,12,7,11,9,1,17,3,13,18,23,24,5,2,6,0,20,15,21,14,10,16,8
4,2,22,19,12,23,0,11,13,9,1,17,3,5,7,15,16,6,18,21,14,24,20,10,8
4,0,23,13,19,7,22,12,18,2,17,24,11,3,1,20,10,9,16,5,21,6,15,14,8
4,12,23,22,13,19,18,11,9,2,1,16,0,7,17,6,14,5,21,10,20,24,15,3,8
4,12,22,23,2,19,1,7,0,18,13,9,17,11,21,24,6,15,3,10,5,20,14,16,8
4,12,19,0,22,7,23,13,1,18,9,17,2,5,16,15,20,21,14,11,24,10,6,8,3
4,19,22,23,9,13,17,18,12,7,2,6,3,11,21,10,1,0,24,14,5,20,15,16,8
4,12,19,22,13,0,9,1,7,23,17,11,3,18,24,2,16,6,20,14,10,5,21,8,15
